NP_001004056.1	NP_001004056.1	100	546	0	0	1	546	1	546	0.0	1121
NP_001004056.1	NP_892027.2	94.5	578	0	1	1	546	1	578	0.0	1105
NP_001004056.1	XP_011511751.1	93.3	585	0	1	1	546	1	585	0.0	1102
NP_001004056.1	XP_011511749.1	88.5	617	0	2	1	546	1	617	0.0	1085
NP_001004056.1	XP_011511750.1	87.9	603	2	2	1	532	1	603	0.0	1050
NP_001004056.1	XP_016863541.1	84.3	617	0	3	1	546	1	591	0.0	1019
NP_001004056.1	XP_016863542.1	83.6	617	0	3	1	546	1	587	0.0	1010
NP_001004056.1	NP_005298.2	91.6	546	0	1	1	546	1	500	0.0	1003
NP_001004056.1	NP_001004057.1	86.5	578	0	2	1	546	1	532	0.0	987
NP_001004056.1	XP_011511752.1	81.0	617	0	3	1	546	1	571	0.0	967
NP_001004056.1	XP_011511753.1	81.0	617	0	3	1	546	1	571	0.0	965
NP_001004056.1	XP_011511754.1	80.3	603	2	3	1	532	1	557	0.0	929
NP_001004056.1	XP_016863544.1	83.2	546	0	2	1	546	1	454	0.0	883
NP_001004056.1	XP_016863543.1	78.5	578	0	3	1	546	1	486	9.36e-320	867
NP_001004056.1	XP_011511755.1	86.0	508	0	2	1	437	1	508	2.09e-314	855
NP_001004056.1	XP_011511756.1	73.6	617	0	4	1	546	1	525	1.63e-311	847
NP_001004056.1	NP_001337102.1	99.7	380	1	0	167	546	5	384	1.06e-288	784
NP_001004056.1	XP_047306080.1	99.7	380	1	0	167	546	5	384	1.06e-288	784
NP_001004056.1	XP_016863545.1	91.2	433	5	2	1	400	1	433	1.69e-285	778
NP_001004056.1	XP_005248019.1	100	367	0	0	180	546	1	367	6.24e-279	758
NP_001004056.1	XP_047306081.1	100	367	0	0	180	546	1	367	6.24e-279	758
NP_001004056.1	XP_047306082.1	100	367	0	0	180	546	1	367	6.24e-279	758
NP_001004056.1	XP_011511757.1	83.7	472	5	3	1	400	1	472	2.95e-277	759
NP_001004056.1	NP_005299.1	64.5	560	164	3	1	528	1	557	5.82e-262	724
NP_001004056.1	NP_001004106.1	62.6	575	181	3	1	543	1	573	4.07e-261	722
NP_001004057.1	NP_001004057.1	100	532	0	0	1	532	1	532	0.0	1092
NP_001004057.1	XP_011511752.1	93.2	571	0	1	1	532	1	571	0.0	1073
NP_001004057.1	NP_892027.2	92.0	578	0	1	1	532	1	578	0.0	1070
NP_001004057.1	XP_011511749.1	86.2	617	0	2	1	532	1	617	0.0	1051
NP_001004057.1	XP_011511750.1	90.7	571	10	2	1	528	1	571	0.0	1038
NP_001004057.1	NP_005298.2	94.0	532	0	1	1	532	1	500	0.0	1009
NP_001004057.1	NP_001004056.1	86.5	578	0	2	1	532	1	546	0.0	988
NP_001004057.1	XP_016863541.1	82.0	617	0	3	1	532	1	591	0.0	985
NP_001004057.1	XP_016863542.1	81.4	617	0	3	1	532	1	587	0.0	976
NP_001004057.1	XP_016863543.1	91.4	532	0	1	1	532	1	486	0.0	972
NP_001004057.1	XP_011511751.1	81.0	617	0	3	1	532	1	585	0.0	968
NP_001004057.1	XP_011511755.1	85.1	571	0	2	1	532	1	525	0.0	954
NP_001004057.1	XP_011511756.1	85.1	571	0	2	1	532	1	525	0.0	953
NP_001004057.1	XP_011511753.1	78.8	617	0	3	1	532	1	571	0.0	931
NP_001004057.1	XP_011511754.1	82.7	571	10	3	1	528	1	525	0.0	918
NP_001004057.1	XP_016863544.1	85.3	532	0	2	1	532	1	454	0.0	889
NP_001004057.1	XP_016863545.1	98.6	433	5	1	1	432	1	433	2.17e-319	863
NP_001004057.1	XP_011511757.1	90.5	472	5	2	1	432	1	472	3.92e-311	844
NP_001004057.1	NP_005299.1	70.3	515	152	1	1	515	1	514	1.36e-273	753
NP_001004057.1	NP_001004105.1	69.5	515	156	1	1	515	1	514	1.76e-271	747
